"","GFP.1","GFP.2","GFP.3","CRE.1","CRE.2","CRE.3"
"mmu-let-7a",40,40,40,40,40,40
"mmu-let-7b",22.01,22.71,25.62,31.9,33.66,40
"mmu-let-7c",26.75,28.09,31.21,31.26,32.44,32.23
"mmu-let-7d",25.13,26.87,29.94,33.96,35.29,36.31
"mmu-let-7e",29.6,31.06,33.27,33.56,34.83,33.78
"mmu-let-7f",27.7,29.82,32.53,34.38,36.37,40
"mmu-let-7g",27.12,29.07,31.74,33.26,34.49,37.57
"mmu-let-7i",21.91,22.83,25.69,31.65,33.04,40
"mmu-miR-1",38.14,34.1,33.77,40,40,40
"mmu-miR-100",25.51,28.03,29.72,29.85,31.05,29.31
"mmu-miR-101a",29.61,30.31,33.13,37.47,39.03,40
"mmu-miR-101b",27.07,27.53,29.76,35.57,36.86,40
"mmu-miR-103",27.59,29.44,32.28,35.1,36.27,36.46
"mmu-miR-105",23.93,24.07,25.89,30.22,31.38,40
"mmu-miR-106a",26.1,27,28.93,32.98,34.26,40
"mmu-miR-106b",24.45,25.88,31.24,35.6,36.82,40
"mmu-miR-107",27.07,28.89,31.8,40,40,36.61
"mmu-miR-10a",26.58,28.34,25.24,29.26,30.52,29.77
"mmu-miR-10b",26.47,27.43,25.31,29.98,31.15,29.3
"mmu-miR-122",24.55,26.72,29.32,32.7,33.95,40
"mmu-miR-124",27.83,26.41,28.72,31.51,32.7,31.9
"mmu-miR-125a-3p",23.96,25.43,27.75,32.36,33.73,40
"mmu-miR-125a-5p",24.01,25.51,28.42,29.08,30.29,30.74
"mmu-miR-125b-3p",29.23,30.04,29.81,31.61,32.88,40
"mmu-miR-125b-5p",23.65,25.87,28.32,28.38,29.64,27.78
"mmu-miR-126-3p",25.54,24.55,31.1,33.22,34.58,36.53
"mmu-miR-126-5p",26.57,28.49,31.3,32.64,33.9,40
"mmu-miR-127",25.7,26.37,28.38,32.63,33.96,39.31
"mmu-miR-128",29.3,30.1,30.85,40.04,40,40
"mmu-miR-129-3p",24.4,25.79,29.77,32.36,33.69,36.48
"mmu-miR-129-5p",25.81,26.71,28.3,30.1,31.22,31.17
"mmu-miR-1-2-as",30.79,32.8,32.89,40,40,40
"mmu-miR-130a",27.01,28.17,29.63,30.9,32.23,29.62
"mmu-miR-130b",25.66,27.07,29.83,35.59,36.79,40
"mmu-miR-132",18.76,19.08,21.69,26.3,27.47,29.43
"mmu-miR-133a",29.92,29.4,31.33,33.25,34.82,40
"mmu-miR-133b",29.78,31.59,34.59,36.89,38.77,40
"mmu-miR-134",27.4,27.21,30.09,31.34,32.65,40
"mmu-miR-135a",18.9,19.22,22.61,28.46,30.18,40
"mmu-miR-135b",19.03,19.87,25.19,34.59,37.03,11.38
"mmu-miR-136",25.13,26.12,27.65,36.83,38.07,36.28
"mmu-miR-137",31.26,27.7,28.57,33.1,34.78,40
"mmu-miR-138",25.46,25.82,28.83,32.69,34.02,40
"mmu-miR-139-3p",26.32,27.09,28.39,31.59,32.78,37.1
"mmu-miR-139-5p",26.02,25.39,28.74,32.41,33.7,40
"mmu-miR-140",25.89,26.19,29.92,36.46,37.77,40
"mmu-miR-141",26.46,27.43,30.01,35.1,36.3,40
"mmu-miR-142-3p",29.42,30.16,32.25,36.46,38.02,40
"mmu-miR-142-5p",29.42,31.06,33.9,40,40,38.41
"mmu-miR-143",26.92,28,29.65,31.83,33.77,29.85
"mmu-miR-144",28.17,33.99,36.33,40,40,40
"mmu-miR-145",26.3,27.61,26.39,26.71,27.93,28.76
"mmu-miR-146a",26.8,27.18,31.31,35.69,36.95,40
"mmu-miR-146b",27.08,27.38,29.14,34.02,35.18,32.91
"mmu-miR-147",27.09,29.14,31.3,35.41,36.61,40
"mmu-miR-148a",26.12,25.67,30.06,31.98,33.2,31.75
"mmu-miR-148b",25.63,26.45,30.72,33.02,34.17,38.03
"mmu-miR-149",27.02,27.42,27.93,30.95,32.61,32.55
"mmu-miR-150",25.38,28.24,30.74,34.19,35.49,40
"mmu-miR-151-3p",27.46,28.46,30.12,31.28,32.61,36.65
"mmu-miR-151-5p",40,40,40,40,40,40
"mmu-miR-152",24.25,25.97,27.1,28.35,29.56,34.85
"mmu-miR-153",28.64,29.61,34.61,40,40,40
"mmu-miR-154",24.33,23.67,27.09,30.83,32.19,31.97
"mmu-miR-155",26.27,25.94,28.89,34.55,36.4,40
"mmu-miR-15a",26.32,25.69,27.51,34.2,35.41,33.99
"mmu-miR-15b",26.93,27.32,30.09,30.41,31.65,28.87
"mmu-miR-16",25.81,26.64,26.67,27.05,28.22,26.73
"mmu-miR-17",31.99,35.4,39.31,38.12,39.7,29.49
"mmu-miR-181a",18.33,18.4,21.9,27.51,28.77,31.64
"mmu-miR-181b",22.75,23,26.36,33.63,34.9,40
"mmu-miR-181c",10.33,11.17,15.63,21.63,22.9,35.88
"mmu-miR-181d",23.05,24.38,28.04,33.88,35.1,40
"mmu-miR-182",26.49,26.95,30.07,34.66,36.09,38.79
"mmu-miR-183",25.07,28.21,31.26,40,40,40
"mmu-miR-184",25.12,27.28,30.56,34.62,35.78,40
"mmu-miR-185",26.18,27.53,30.75,34.19,35.38,38.43
"mmu-miR-186",25.06,25.62,27.83,32.41,33.58,34.06
"mmu-miR-187",23.87,24.44,26.85,29.42,30.74,33.26
"mmu-miR-188-3p",21.16,23.39,28.47,32.2,33.42,33.8
"mmu-miR-188-5p",20.25,24.12,26.76,31.52,32.74,37.98
"mmu-miR-18a",31.31,32.1,34.23,40,40,33.76
"mmu-miR-18b",40,40,40,40,40,36.1
"mmu-miR-190",31.16,31.02,35.05,40,40,40
"mmu-miR-190b",29.49,29.89,31.42,40,40,40
"mmu-miR-191",23.23,23.51,28.92,31.85,33.1,40
"mmu-miR-192",23.92,25,29.04,32.97,34.21,40
"mmu-miR-193",28.53,29.52,31.28,33.46,34.73,40
"mmu-miR-193b",26.25,27.07,30.12,32.33,33.61,33.79
"mmu-miR-194",26.38,28.33,30.21,36.97,38.19,36.37
"mmu-miR-195",24.89,25.89,26.25,27.18,28.36,29.89
"mmu-miR-196a",25.99,26.67,28.84,31.37,32.56,40
"mmu-miR-196b",26.04,26.43,29.14,32.95,34.19,34.18
"mmu-miR-197",26,26.47,28.24,31.2,32.46,40
"mmu-miR-199a-3p",26.42,28.6,29.78,30.25,31.46,40
"mmu-miR-199a-5p",24.75,25.8,29.51,37.07,38.31,39.5
"mmu-miR-199b",26.24,28.11,29.39,30.67,31.96,40
"mmu-miR-19a",28.07,28.52,30.62,30.38,31.68,29.22
"mmu-miR-19b",40,40,40,40,40,28.69
"mmu-miR-200a",27.99,28.56,30.78,40,40,40
"mmu-miR-200b",25.11,25.3,30.03,34.68,35.85,40
"mmu-miR-200c",25.05,26.03,27.19,31.96,33.17,39.07
"mmu-miR-201",28.55,29.54,30.34,37.47,38.76,37.83
"mmu-miR-202-3p",22.73,25.01,27.49,33.64,34.89,40
"mmu-miR-202-5p",31.16,38.58,35.82,40,40,40
"mmu-miR-203",25.95,26.7,29.21,34.36,35.61,40
"mmu-miR-204",25.44,27.19,29.51,37,38.32,40
"mmu-miR-205",26.41,27.71,30.31,36.09,37.28,40
"mmu-miR-206",26.29,28.27,29.67,31.32,32.58,31.65
"mmu-miR-207",26.23,27.77,25.57,27.61,28.8,29.9
"mmu-miR-208a",25.04,25.4,29,31.03,32.17,35.41
"mmu-miR-208b",29.1,29.63,32.39,40,40,40
"mmu-miR-20a",32.3,31.81,33.39,33.37,34.72,40
"mmu-miR-20b",27.93,29.12,30.18,34.61,35.97,40
"mmu-miR-21",25.42,26.43,27.83,27.92,29.15,27.99
"mmu-miR-210",24.54,25.48,27.72,31.59,32.84,35
"mmu-miR-211",26.85,26.93,28.36,32.04,33.3,34.46
"mmu-miR-212",22.1,23.5,26.79,30.35,31.53,31.45
"mmu-miR-214",26.32,27.03,27.17,29.23,30.4,29.94
"mmu-miR-215",26.02,27.1,32.3,34.26,35.5,40
"mmu-miR-216a",27.89,28.39,29.17,32.5,33.74,35.31
"mmu-miR-216b",26.6,27.72,29.03,40,40,40
"mmu-miR-217",26.4,28.06,30.16,33.64,34.85,40.87
"mmu-miR-218",25.47,25.86,29.54,32.78,34.76,40
"mmu-miR-219",29.37,29.48,31.41,40,40,40.55
"mmu-miR-22",28.78,29.22,28.62,28.87,30.2,28.38
"mmu-miR-220",29.32,30.13,31.56,37.81,39.1,39.92
"mmu-miR-221",21.85,23.59,28.09,30.57,31.85,40
"mmu-miR-222",21.76,23.83,28.13,29.4,30.65,30.6
"mmu-miR-223",27.15,28.28,30.21,32.18,33.44,33.66
"mmu-miR-224",27.72,28.07,31.97,40,40,40
"mmu-miR-23a",23.9,25.03,23.96,24.47,25.68,24.52
"mmu-miR-23b",24.22,24.74,24.51,25.16,26.42,38.1
"mmu-miR-24",25.97,27.16,27.14,28.05,29.24,34.86
"mmu-miR-25",23.61,25.06,27.5,29.75,31,30.03
"mmu-miR-26a",26.52,28.57,29.18,33.61,34.87,33.34
"mmu-miR-26b",28.96,30.12,31.94,34.83,36.84,40
"mmu-miR-27a",25.31,26.39,27.32,28.4,29.61,30.14
"mmu-miR-27b",23.52,24.68,27.25,29.27,30.57,40
"mmu-miR-28",24.23,26.05,29.03,34.49,35.72,38.04
"mmu-miR-290-3p",26.02,26.33,29.23,36.99,38.21,40
"mmu-miR-290-5p",40,40,40,40,40,40
"mmu-miR-291a-3p",29.75,28.21,31.03,33.19,34.56,40
"mmu-miR-291a-5p",25.7,26.76,27.92,31.07,32.23,34.25
"mmu-miR-291b-3p",26.68,27.41,28.46,35.28,36.54,37.91
"mmu-miR-291b-5p",27.23,29.2,33.03,40.88,40,40
"mmu-miR-292-3p",27.8,29.19,30.81,33.73,34.95,36.55
"mmu-miR-292-5p",31.86,31.82,35.28,40,40,40
"mmu-miR-293",21.9,22.1,24.27,30.46,31.69,38.39
"mmu-miR-294",22.02,22.12,25.02,29.82,31.01,35.42
"mmu-miR-295",26.84,24.91,30.53,37.88,39.1,40
"mmu-miR-296-3p",26.75,27.45,28.87,30.45,31.8,31.23
"mmu-miR-296-5p",25.87,24.32,27.06,31.32,32.56,32.4
"mmu-miR-297a",26.97,26.46,27.05,27.35,28.57,40
"mmu-miR-297b-3p",25.74,26.39,30.56,39.45,40.89,40
"mmu-miR-297b-5p",27.85,27.73,30.15,32.54,33.86,38.89
"mmu-miR-297c",23.98,23,25.18,29.19,30.45,39.12
"mmu-miR-298",25.63,26.6,27.52,32,33.16,33.16
"mmu-miR-299",28.12,29.05,32.09,35.09,36.33,40
"mmu-miR-29a",27.14,27.92,30.75,31.8,33.06,32.15
"mmu-miR-29b",27.52,28.38,30.2,36.79,38.05,40
"mmu-miR-29c",26.47,28.49,30.74,32.19,33.4,37.08
"mmu-miR-300",26.22,26.29,28.6,29.94,31.33,35.37
"mmu-miR-301a",27.82,28.28,31.04,32.49,33.68,34.2
"mmu-miR-301b",40,40,40,40,40,40
"mmu-miR-302a",30.89,32.61,32.45,40,40,40
"mmu-miR-302b",23.52,24.25,31.47,40,40,40
"mmu-miR-302c",26.06,24.55,26.65,33.09,34.25,40
"mmu-miR-302d",23,24.89,28.15,34.53,35.77,34.27
"mmu-miR-30a",25.72,27.31,27.1,27.22,28.38,27.07
"mmu-miR-30b",27.11,28.61,29.65,32.07,33.26,30.14
"mmu-miR-30c",27.1,28.15,28.51,32.75,33.93,32.19
"mmu-miR-30d",24.15,26.61,27.26,27.26,28.49,27.4
"mmu-miR-30e",24.4,26.79,27.17,28.01,29.26,31.3
"mmu-miR-31",27.07,28.13,30.38,33.91,35.13,33.78
"mmu-miR-32",25.61,29.25,32.96,40,40,40
"mmu-miR-320",23.58,25.66,26.6,30.04,31.18,30.3
"mmu-miR-322",25.33,26.48,29.09,32.74,34.01,38.3
"mmu-miR-323-3p",30.17,31.28,31.45,34.43,35.63,33.6
"mmu-miR-323-5p",24.68,25.87,29.11,30.76,32.11,31.15
"mmu-miR-324-3p",25.61,26.61,27.05,29.09,30.25,30.07
"mmu-miR-324-5p",26.23,27.5,28.72,32.41,33.63,36.59
"mmu-miR-325",40,40,40,40,40,40
"mmu-miR-326",27.53,26.07,28.47,31.32,32.54,35.83
"mmu-miR-327",28.63,28.76,32.15,35.52,36.93,37.86
"mmu-miR-328",27.01,28,28.15,30.14,31.37,32.07
"mmu-miR-329",30.17,31.07,31.49,34.95,36.17,38.45
"mmu-miR-33",28.6,29.43,32.86,38.41,39.71,40
"mmu-miR-330",28.75,29.82,29.73,32.24,33.69,33.31
"mmu-miR-331-3p",27.52,29.71,31.58,35.24,36.46,40
"mmu-miR-331-5p",25.25,26.68,28.66,31.44,32.68,32.21
"mmu-miR-335-3p",25.83,26.99,30.1,34.26,36.12,40
"mmu-miR-335-5p",21.72,22.49,25.68,29.3,30.8,40
"mmu-miR-337-3p",28.08,29,30.79,35.18,36.44,40
"mmu-miR-337-5p",28.95,30.02,31.3,34.59,35.82,38
"mmu-miR-338-3p",25.49,26.52,28.07,35.55,36.8,40.77
"mmu-miR-338-5p",23.63,24.77,27.1,31.46,32.67,36.96
"mmu-miR-339-3p",40,40,37.6,40,40,40
"mmu-miR-339-5p",27.85,28.16,30.55,32.06,33.25,35.47
"mmu-miR-340-3p",27.08,24.07,26.35,33.47,34.76,40
"mmu-miR-340-5p",27.17,28.59,31.51,40,40,40
"mmu-miR-341",25.38,23.81,26.92,29.75,31.08,40
"mmu-miR-342-3p",27.24,28.34,29.81,30.77,32.25,30.44
"mmu-miR-342-5p",26.52,27.58,29.5,35.35,36.66,40
"mmu-miR-343",25.4,25.65,29.69,33.32,35.04,35.9
"mmu-miR-344",25.48,24.61,26.75,31.9,33.28,33.88
"mmu-miR-345-3p",40,29.31,30.82,32.51,33.77,35.79
"mmu-miR-345-5p",28.3,28.52,29.62,32.17,33.42,34.81
"mmu-miR-346",25.69,26.04,25.25,27.05,28.25,28.78
"mmu-miR-34a",24.85,23.76,26.74,31.75,33.13,40
"mmu-miR-34b-3p",24.43,26.22,28.31,29.23,30.43,32.24
"mmu-miR-34b-5p",25.94,27.46,29.38,32.17,33.42,40
"mmu-miR-34c",26.07,27.27,29.72,32.14,33.33,31.13
"mmu-miR-350",28.02,29.21,30.34,30.9,32.18,31.34
"mmu-miR-351",26.26,27.17,28.57,31.27,32.51,34.26
"mmu-miR-361",27.5,27.55,31.09,34.18,35.76,33.7
"mmu-miR-362-3p",40,40,40,40,40,40
"mmu-miR-362-5p",24.24,24.73,27.56,33.64,35.77,40
"mmu-miR-363",25.95,28.34,30.48,40,40,40
"mmu-miR-365",19.52,20.46,24.19,29.74,30.98,34.43
"mmu-miR-367",30.09,29.85,32.03,40.11,40,40
"mmu-miR-369-3p",28.68,30.49,32.03,39.52,40,40
"mmu-miR-369-5p",26.22,26.42,32.32,40,40,38.78
"mmu-miR-370",29.57,27.1,29.76,32.25,33.61,32.54
"mmu-miR-374",40,40,40,40,40,40
"mmu-miR-375",22.89,25.06,29.2,40,40,40
"mmu-miR-376a",40,39.85,40,40,40,40
"mmu-miR-376b",27.33,28.49,32.6,33.19,34.46,40
"mmu-miR-376c",31.38,33.83,30.97,33.18,34.42,34.04
"mmu-miR-377",32.13,30.82,34.07,40.84,40,36.58
"mmu-miR-378",26.26,26.92,29.01,30.12,31.3,31.15
"mmu-miR-379",25.75,27.09,30.04,40,40,34.05
"mmu-miR-380-3p",29.6,29.18,31.22,40,40,38.18
"mmu-miR-380-5p",28.88,30.53,31.61,35,36.2,40
"mmu-miR-381",27.29,27.71,27.84,31.29,32.48,40
"mmu-miR-382",23.63,23.77,27.1,30.17,31.36,31.42
"mmu-miR-383",26.18,27.66,28.62,31.54,32.77,35.83
"mmu-miR-384-3p",30.33,31.97,36.33,35.21,36.54,40
"mmu-miR-384-5p",27.43,27.37,30.18,38.62,39.87,40
"mmu-miR-409-3p",24.54,25.58,27.89,31.18,32.33,32.97
"mmu-miR-409-5p",27.99,29.44,31.39,40,40,40
"mmu-miR-410",26.7,27.54,29.14,32.28,33.52,40
"mmu-miR-411",28.34,29.43,30.52,34.63,35.9,40
"mmu-miR-412",29.93,28.13,29.87,33.3,34.48,37.92
"mmu-miR-421",40,40,40,40,40,40
"mmu-miR-423-3p",27.75,29.1,29.77,31.43,32.68,40
"mmu-miR-423-5p",28.36,29.1,31.82,33.5,34.84,34.53
"mmu-miR-425",24.54,26.89,29.67,33.89,35.09,40
"mmu-miR-429",27.46,27.43,37.2,40,40,40
"mmu-miR-431",25.82,27.43,29.57,32.57,33.86,37
"mmu-miR-433",26.01,26.63,29.04,33.01,34.28,34.67
"mmu-miR-434-3p",27.47,26.02,28.66,30.43,31.71,40
"mmu-miR-434-5p",30.08,27.75,31.23,34.83,36.2,36.62
"mmu-miR-448",27.36,28.64,30.44,35.01,36.24,40
"mmu-miR-449a",24.79,26.28,28.32,37.06,38.31,37.19
"mmu-miR-449b",25.69,27.35,29.17,31.67,32.92,32.37
"mmu-miR-449c",28.3,28.77,29.16,36.03,37.21,37.01
"mmu-miR-450a-3p",40,40,40,40,40,40
"mmu-miR-450a-5p",30.63,30.44,33.62,40,40,40
"mmu-miR-450b-3p",31.51,33.81,33.27,33.64,34.91,38.43
"mmu-miR-450b-5p",28.24,28.5,30.63,40,40,40
"mmu-miR-451",22.89,24.03,29.4,31.54,32.8,32.89
"mmu-miR-452",27.95,29.98,30.98,35.91,37.14,36.65
"mmu-miR-453",23.29,24.77,27.64,32.29,33.57,37.44
"mmu-miR-455",25.4,26.36,30.91,33.57,34.79,35.09
"mmu-miR-463",28.97,30.61,31.53,40,40,40
"mmu-miR-464",30.17,31.93,33.37,40,40,40
"mmu-miR-465a-3p",26.17,28.21,31.36,40,40,40
"mmu-miR-465a-5p",26.03,26.85,29.41,35.52,36.84,34.77
"mmu-miR-465b-3p",26.52,27.95,31.95,40,40,40
"mmu-miR-465b-5p",25.63,26.88,29.7,34.22,35.48,40
"mmu-miR-465c-3p",26.61,27.75,32.32,40,40,40
"mmu-miR-465c-5p",27.13,28.07,30.01,34.94,36.15,33.58
"mmu-miR-466a-3p",29.84,31.26,33.13,35.77,36.94,40
"mmu-miR-466a-5p",31.47,29.39,34.06,40,40,40
"mmu-miR-466b-3-3p",29.91,29.5,35.39,40,40,40
"mmu-miR-466b-3p",29.04,31.78,32.57,40,40,40
"mmu-miR-466b-5p",40,40,34.7,32.2,33.71,40
"mmu-miR-466c-3p",37.23,31.78,37.35,37.4,38.69,40.27
"mmu-miR-466c-5p",29.37,27.62,29.59,33,34.11,34.26
"mmu-miR-466d-3p",29.43,30.29,33.73,33.97,35.22,38.71
"mmu-miR-466d-5p",40,33.2,32.74,32.63,33.99,35.21
"mmu-miR-466e-3p",30.18,31.01,32.3,36.35,37.54,40
"mmu-miR-466e-5p",31.65,29.49,33.06,34.43,35.74,38.25
"mmu-miR-466f",28.12,28.24,25.96,25.66,26.96,29.07
"mmu-miR-466f-3p",25.16,26.38,24.15,25.72,27.01,25.97
"mmu-miR-466f-5p",27.81,28.28,26.12,26.7,27.95,31.63
"mmu-miR-466g",24.57,25.91,24.55,27.72,28.88,28.5
"mmu-miR-466h",25.31,26.96,27.24,27.91,29.13,30.99
"mmu-miR-466i",28.5,29.48,27.6,30.31,31.52,40
"mmu-miR-466j",25.64,27.61,28.68,29.23,30.49,36.74
"mmu-miR-466k",34.19,33.98,33.08,33.45,34.69,40
"mmu-miR-466l",29.36,30.61,32.64,40,40,40
"mmu-miR-467a",33.13,34.31,33.76,39.15,40.39,40
"mmu-miR-467b",28.43,28.64,31.17,35.27,36.58,40
"mmu-miR-467c",26.39,27.62,27.61,33.63,34.95,40
"mmu-miR-467d",40,40,35.93,6.62,40,40
"mmu-miR-467e",27.86,28.88,31.08,39.3,40.88,40
"mmu-miR-467f",40,40,40,40,40,40
"mmu-miR-467g",30,31.1,34.01,40,40,40
"mmu-miR-467h",28.15,28.79,29.01,30.52,31.84,40
"mmu-miR-468",23.43,24.31,26.23,29.11,30.28,40
"mmu-miR-469",25.27,29.82,28.1,34.38,35.61,36.72
"mmu-miR-470",18.41,18.74,21.72,27.49,28.72,30.77
"mmu-miR-471",29.01,30.1,31.06,38.34,39.71,40
"mmu-miR-483",24.61,27.05,28.28,32.4,33.6,31.74
"mmu-miR-484",26.89,28.7,29.88,31.45,32.65,31.75
"mmu-miR-485",27.84,28.38,30.91,39.25,40.77,35.35
"mmu-miR-486",23.68,24.16,26.7,31.69,35,32.33
"mmu-miR-487b",27.87,29.03,30.3,34.84,36.03,40
"mmu-miR-488",25.5,24.54,28.37,33.23,34.58,35.42
"mmu-miR-489",26.36,27.26,27.99,33.65,34.86,37.51
"mmu-miR-490",28.83,29.05,30.12,33.84,35.09,40
"mmu-miR-491",28.25,29.42,32.09,34.29,35.56,39.57
"mmu-miR-493",24.24,25.48,26.81,30.77,31.99,31.47
"mmu-miR-494",18.42,19.17,22.62,25.67,26.92,32.67
"mmu-miR-495",29.47,29.97,32.23,36.32,37.62,40
"mmu-miR-496",26.62,27.09,30.28,35.75,37.21,40
"mmu-miR-497",25.04,26.48,30.74,37.05,38.56,40
"mmu-miR-499",28.07,29.06,32.48,40,40,40.11
"mmu-miR-500",25.93,26.01,28.81,32.43,33.67,25.42
"mmu-miR-501-3p",26.93,28.03,30.99,35.18,36.36,40
"mmu-miR-501-5p",22.26,24.14,27.48,34.37,35.61,37.8
"mmu-miR-503",27.07,27.15,30.51,33.55,34.78,40.01
"mmu-miR-504",30.08,31.51,32.25,40,40,40
"mmu-miR-505",28.61,28.42,28.8,35.04,36.2,40
"mmu-miR-509-3p",28.23,29.38,31.59,40,40,40
"mmu-miR-509-5p",28.89,29.38,31.37,37.01,38.16,40
"mmu-miR-511",27.22,28.34,29.21,31.54,32.69,33.51
"mmu-miR-532-3p",27.09,28.9,28.83,30.58,31.8,31.56
"mmu-miR-532-5p",27.58,28.42,29.92,33.28,34.46,32.4
"mmu-miR-539",5.67,13.62,18.11,23.36,24.57,38.28
"mmu-miR-540-3p",27.04,26.3,28.56,32.76,33.99,33.47
"mmu-miR-540-5p",27.17,26.93,28.26,31.39,32.57,34.84
"mmu-miR-541",26.79,27.06,28.57,34.54,35.78,36.32
"mmu-miR-542-3p",23.02,24.24,29.88,38.26,39.81,40
"mmu-miR-542-5p",28.03,29.9,29.87,40,40,40
"mmu-miR-543",28.9,30.19,32.03,40,40,40
"mmu-miR-544",30.19,36.51,31.46,37.27,38.53,40.85
"mmu-miR-546",25.2,26.02,29.63,32.44,33.61,40
"mmu-miR-547",19.63,20.01,23.32,32.99,34.64,40
"mmu-miR-551b",29.21,30.35,32.42,40,40,40
"mmu-miR-568",30.98,36.64,40,40,40,40
"mmu-miR-574-3p",25.85,27.39,26.75,28.96,30.2,40
"mmu-miR-574-5p",22.46,23.9,22.38,21.55,22.87,40
"mmu-miR-582-3p",25.21,26.58,29.81,40,40,24.59
"mmu-miR-582-5p",29.16,29.43,31.87,40,40,36.72
"mmu-miR-590-3p",30.64,31.4,40,40,40,40
"mmu-miR-590-5p",34.35,40,40,36.9,38.14,40
"mmu-miR-592",17.63,20.84,24.99,31.41,32.63,40
"mmu-miR-598",26.5,30.69,31.56,32.85,34.18,34.91
"mmu-miR-615-3p",28.11,36.54,27.22,30.9,32.06,32.05
"mmu-miR-615-5p",5.45,7.61,9.15,12.87,21.1,34.06
"mmu-miR-652",28.02,27.77,29.12,33.21,34.42,38.11
"mmu-miR-653",25.32,25.46,30.16,38.55,39.75,40
"mmu-miR-654-3p",27.8,27.95,29.61,32.27,33.46,33.37
"mmu-miR-654-5p",25.87,26.73,29.65,40.63,40,40
"mmu-miR-665",26.62,27.49,27.81,29.96,31.13,31.06
"mmu-miR-666-3p",27.69,28.97,31.21,33.49,34.78,37.09
"mmu-miR-666-5p",29.17,30.31,28.88,30.45,31.62,32.79
"mmu-miR-667",23.58,24.59,26.79,30.53,31.76,30.7
"mmu-miR-668",25.89,27.07,28.78,31.27,32.54,32.55
"mmu-miR-669a",40,40,40,40,40,40
"mmu-miR-669b",26.3,27.07,28.01,27.46,28.68,30.26
"mmu-miR-669c",22.11,22.64,22.38,24.03,25.6,33.34
"mmu-miR-669d",28.09,28.73,29.07,30.66,31.91,38.75
"mmu-miR-669e",26.55,27.44,30.67,34.66,35.95,40
"mmu-miR-669f",28.2,26.87,30.8,34.49,35.69,40
"mmu-miR-669g",27.11,28.66,30.55,35.19,36.64,40
"mmu-miR-669h-3p",26.67,26.99,26.83,30.28,31.49,24.12
"mmu-miR-7a",27.69,29.48,29.24,33.88,35.27,35.59
"mmu-miR-7b",24.5,24.49,26.38,31.66,33.62,32.23
"mmu-miR-9",40,31.79,33.95,40,40,40
"mmu-miR-92a",24.97,26.03,27.93,29.54,30.88,29.76
"mmu-miR-92b",23.19,23.93,26.04,29.12,30.27,29.4
"mmu-miR-93",26.92,27.88,29.47,32.08,33.3,37.26
"mmu-miR-96",29.53,30.65,32.28,40,40,40
"mmu-miR-98",24.46,25.5,29.27,38.61,40.37,40
"mmu-miR-99a",25.92,26.86,28.67,32.16,33.39,30.89
"mmu-miR-99b",24.18,25.72,27.39,28.48,29.76,40
"Mouse U6 snRNA",27.57,27.34,27.86,27.46,28.74,27.04
