"","CGLvsCon","HIVvsCon"
"hsa-miR-19b",1,1
"hsa-miR-101",1,1
"hsa-miR-19a",1,1
"hsa-miR-374b",1,1
"hsa-miR-21",1,1
"hsa-miR-16",1,1
"hsa-miR-557",1,1
"hsa-miR-195",1,1
"hsa-miR-193a-5p",1,1
"hsa-miR-126",1,1
"hsa-miR-30a",1,1
"hsa-miR-548e",-1,-1
"hsa-miR-452",-1,-1
"hsa-miR-516b",-1,-1
"hsa-miR-630",-1,-1
"hsa-miR-365",-1,-1
"hsa-miR-767-3p",-1,-1
"hsa-miR-375",-1,-1
"hsa-miR-409-5p",-1,-1
"hsa-miR-770-5p",-1,-1
"hsa-miR-342-3p",-1,-1
"hsa-miR-487b",-1,-1
"hsa-miR-920",-1,-1
"hsa-miR-34c-5p",-1,-1
"hsa-miR-302e",-1,-1
"hsa-miR-362-5p",-1,-1
"hsa-miR-106b",-1,-1
"hsa-miR-525-3p",-1,-1
"hsa-miR-548a-5p",-1,-1
"hsa-miR-500",-1,-1
"hsa-miR-224",-1,-1
"hsa-miR-509-3-5p",-1,-1
"hsa-miR-648",-1,-1
"hsa-miR-545",-1,-1
"hsa-miR-324-5p",-1,-1
"hsa-miR-299-5p",-1,-1
"hsa-miR-346",-1,-1
"hsa-miR-222",-1,-1
"hsa-miR-382",-1,-1
"hsa-miR-199b-5p",-1,-1
"hsa-miR-421",-1,-1
"hsa-miR-448",-1,-1
"hsa-miR-369-5p",-1,-1
"hsa-miR-542-3p",-1,-1
"hsa-miR-645",-1,-1
"hsa-miR-323-5p",-1,-1
"hsa-miR-646",-1,-1
"hsa-miR-323-3p",-1,-1
"hsa-miR-485-3p",-1,-1
"hsa-miR-511",-1,-1
"hsa-miR-449a",-1,-1
"hsa-miR-449b",-1,-1
"hsa-miR-383",-1,-1
"hsa-miR-554",-1,-1
"hsa-miR-657",-1,-1
"hsa-miR-583",-1,-1
"hsa-miR-370",-1,-1
"hsa-miR-147",-1,-1
"hsa-miR-149",-1,-1
"hsa-miR-631",-1,-1
"hsa-miR-487a",-1,-1
"hsa-miR-181b",-1,-1
"hsa-miR-29c",-1,-1
"hsa-miR-632",-1,-1
"hsa-miR-516a-3p",-1,-1
"hsa-miR-610",-1,-1
"hsa-miR-520e",-1,-1
"hsa-miR-539",-1,-1
"hsa-miR-890",-1,-1
"hsa-miR-483-3p",-1,-1
"hsa-miR-10b",-1,-1
"hsa-miR-339-3p",-1,-1
"hsa-miR-519e",-1,-1
"hsa-miR-544",-1,-1
"hsa-miR-520c-3p",-1,-1
"hsa-miR-220a",-1,-1
"hsa-miR-566",-1,-1
"hsa-miR-141",-1,-1
"hsa-miR-508-5p",-1,-1
"hsa-miR-603",-1,-1
"hsa-miR-133b",-1,-1
"hsa-miR-875-3p",-1,-1
"hsa-miR-518d-3p",-1,-1
"hsa-miR-935",-1,-1
"hsa-miR-490-3p",-1,-1
"hsa-miR-802",-1,-1
"hsa-miR-337-5p",1,0
"hsa-miR-140-3p",1,0
"hsa-miR-106a",1,0
"hsa-miR-367",1,0
"hsa-miR-17",1,0
"hsa-miR-550",1,0
"hsa-miR-190",1,0
"hsa-miR-20a",1,0
"hsa-miR-331-3p",1,0
"hsa-miR-30d",1,0
"hsa-miR-548i",1,0
"hsa-miR-192",1,0
"hsa-miR-450b-5p",1,0
"hsa-miR-338-3p",0,1
"hsa-miR-15a",0,1
"hsa-miR-362-3p",0,1
"hsa-miR-371-3p",0,1
"hsa-miR-103",0,1
"hsa-miR-335",0,-1
"hsa-miR-9",0,-1
"hsa-miR-410",0,-1
"hsa-miR-100",0,-1
"hsa-miR-541",0,-1
"hsa-miR-220c",0,-1
"hsa-miR-140-5p",0,-1
"hsa-miR-516a-5p",0,-1
"hsa-miR-501-3p",0,-1
"hsa-miR-486-3p",0,-1
"hsa-miR-130b",0,-1
"hsa-miR-889",0,-1
"hsa-miR-885-3p",0,-1
"hsa-miR-635",0,-1
"hsa-miR-374a",0,-1
"hsa-miR-671-5p",0,-1
"hsa-miR-769-5p",0,-1
"hsa-miR-483-5p",0,-1
"hsa-miR-592",0,-1
"hsa-miR-767-5p",0,-1
"hsa-miR-649",0,-1
"hsa-miR-654-3p",0,-1
"hsa-miR-520c-5p",0,-1
"hsa-miR-183",0,-1
"hsa-miR-615-3p",0,-1
"hsa-miR-422a",0,-1
"hsa-miR-326",0,-1
"hsa-miR-520d-5p",0,-1
"hsa-miR-423-3p",-1,0
"hsa-miR-658",-1,0
"hsa-miR-891a",-1,0
"hsa-miR-501-5p",-1,0
"hsa-miR-548c-5p",-1,0
"hsa-miR-605",-1,0
"hsa-miR-596",-1,0
"hsa-miR-412",-1,0
"hsa-miR-484",-1,0
"hsa-miR-637",-1,0
"hsa-miR-512-3p",-1,0
"hsa-miR-656",-1,0
"hsa-miR-760",-1,0
"hsa-miR-296-3p",-1,0
"hsa-miR-298",-1,0
"hsa-miR-671-3p",-1,0
"hsa-miR-433",-1,0
"hsa-miR-622",-1,0
"hsa-miR-582-3p",-1,0
"hsa-miR-887",-1,0
"hsa-miR-92b",-1,0
"hsa-miR-744",-1,0
"hsa-miR-519c-5p",-1,0
"hsa-miR-210",-1,0
"hsa-miR-766",-1,0
"hsa-miR-212",-1,0
"hsa-miR-874",-1,0
"hsa-miR-765",-1,0
"hsa-miR-125a-3p",-1,0
"hsa-miR-505",-1,0
"hsa-miR-220b",-1,0
"hsa-miR-491-3p",-1,0
"hsa-miR-409-3p",-1,0
"hsa-miR-659",-1,0
"hsa-miR-514b-5p",-1,0
"hsa-miR-502-5p",-1,0
"hsa-miR-526a",-1,0
"hsa-miR-509-5p",-1,0
"hsa-miR-199a-5p",-1,0
"hsa-miR-500b",-1,0
"hsa-miR-219-2-3p",-1,0
"hsa-miR-202",-1,0
"hsa-miR-493",-1,0
"hsa-miR-888",-1,0
"hsa-miR-153",-1,0
"hsa-miR-300",-1,0
"hsa-miR-31",-1,0
"hsa-miR-221",-1,0
"hsa-miR-339-5p",-1,0
"hsa-miR-34c-3p",-1,0
"hsa-miR-647",-1,0
"hsa-miR-34b",-1,0
"hsa-miR-626",-1,0
"hsa-miR-933",-1,0
"hsa-miR-188-3p",-1,0
"hsa-miR-564",-1,0
"hsa-miR-520b",-1,0
"hsa-miR-453",-1,0
"hsa-miR-30b",-1,0
"hsa-miR-720",-1,0
"hsa-miR-654-5p",-1,0
"hsa-miR-877",-1,0
"hsa-miR-548u",-1,0
"hsa-miR-665",-1,0
"hsa-miR-133a",-1,0
"hsa-miR-497",-1,0
"hsa-miR-617",-1,0
"hsa-miR-668",-1,0
"hsa-miR-496",-1,0
"hsa-miR-188-5p",-1,0
"hsa-miR-936",-1,0
"hsa-miR-128",-1,0
"hsa-miR-937",-1,0
"hsa-miR-593",-1,0
"hsa-miR-378",-1,0
"hsa-miR-377",-1,0
"hsa-miR-548a-3p",-1,0
"hsa-miR-135b",-1,0
"hsa-miR-638",-1,0
"hsa-miR-876-5p",-1,0
"hsa-miR-211",-1,0
"hsa-miR-490-5p",-1,0
"hsa-miR-623",-1,0
"hsa-miR-206",-1,0
"hsa-let-7d",-1,0
"hsa-miR-758",-1,0
"hsa-miR-634",-1,0
"hsa-miR-921",-1,0
"hsa-miR-507",-1,0
"hsa-miR-376a",-1,0
"hsa-miR-934",-1,0
"hsa-miR-551b",-1,0
"hsa-miR-576-5p",-1,0
"hsa-miR-612",-1,0
"hsa-miR-651",-1,0
"hsa-miR-147b",-1,0
"hsa-miR-640",-1,0
"hsa-miR-873",-1,0
"hsa-miR-600",-1,0
"hsa-miR-614",-1,0
"hsa-miR-650",-1,0
"hsa-miR-28-5p",-1,0
"hsa-miR-518a-3p",-1,0
"hsa-miR-518d-5p",-1,0
"hsa-miR-636",-1,0
"hsa-miR-196b",-1,0
"hsa-miR-143",-1,0
"hsa-miR-196a",-1,0
"hsa-miR-891b",-1,0
"hsa-miR-513a-5p",-1,0
"hsa-miR-609",-1,0
"hsa-miR-587",-1,0
"hsa-miR-575",-1,0
"hsa-miR-216b",-1,0
