"","BAT","EPI","ING"
"mmu-miR-22",TRUE,TRUE,TRUE
"mmu-miR-19b",TRUE,TRUE,TRUE
"mmu-miR-19a",TRUE,TRUE,TRUE
"mmu-miR-17",TRUE,FALSE,FALSE
"mmu-miR-323-5p",TRUE,TRUE,TRUE
"mmu-miR-92b",TRUE,TRUE,TRUE
"mmu-let-7a",TRUE,TRUE,TRUE
"mmu-miR-193b",TRUE,TRUE,TRUE
"mmu-miR-103",TRUE,FALSE,FALSE
"mmu-miR-200b",TRUE,FALSE,FALSE
"mmu-miR-15a",TRUE,TRUE,TRUE
"mmu-miR-133b",TRUE,TRUE,TRUE
"mmu-miR-204",TRUE,FALSE,TRUE
"mmu-miR-128",TRUE,FALSE,FALSE
"mmu-miR-185",TRUE,TRUE,TRUE
"mmu-miR-291a-5p",TRUE,TRUE,TRUE
"mmu-miR-207",TRUE,TRUE,TRUE
"mmu-let-7e",TRUE,FALSE,TRUE
"mmu-miR-34a",TRUE,FALSE,FALSE
"mmu-miR-21",TRUE,FALSE,FALSE
"mmu-miR-212",TRUE,TRUE,TRUE
"mmu-let-7c",TRUE,TRUE,TRUE
"mmu-miR-25",TRUE,TRUE,TRUE
"mmu-miR-195",TRUE,TRUE,TRUE
"mmu-miR-92a",TRUE,TRUE,TRUE
"mmu-miR-27a",TRUE,TRUE,TRUE
"mmu-miR-16",TRUE,TRUE,TRUE
"mmu-miR-24",TRUE,TRUE,TRUE
"mmu-miR-29a",TRUE,TRUE,TRUE
"mmu-miR-199a-5p",TRUE,FALSE,TRUE
"mmu-miR-130a",TRUE,TRUE,TRUE
"mmu-miR-188-3p",TRUE,FALSE,TRUE
"mmu-miR-145",TRUE,TRUE,TRUE
"mmu-miR-205",TRUE,TRUE,TRUE
"mmu-miR-101a",TRUE,TRUE,TRUE
"mmu-miR-20b",TRUE,TRUE,TRUE
"mmu-miR-328",TRUE,TRUE,TRUE
"mmu-miR-20a",TRUE,TRUE,TRUE
"mmu-miR-326",TRUE,TRUE,TRUE
"mmu-miR-302c",TRUE,TRUE,FALSE
"mmu-miR-1",TRUE,FALSE,FALSE
"mmu-miR-107",TRUE,FALSE,FALSE
"mmu-miR-148a",TRUE,TRUE,TRUE
"mmu-miR-222",TRUE,TRUE,TRUE
"mmu-miR-214",TRUE,TRUE,FALSE
"mmu-miR-7a",TRUE,FALSE,TRUE
"mmu-miR-181d",TRUE,TRUE,TRUE
"mmu-miR-133a",TRUE,TRUE,TRUE
"mmu-miR-148b",TRUE,TRUE,TRUE
"mmu-miR-106a",TRUE,TRUE,TRUE
"mmu-miR-183",FALSE,FALSE,TRUE
"mmu-miR-335-3p",TRUE,TRUE,TRUE
"mmu-miR-140",TRUE,FALSE,FALSE
"mmu-miR-127*",TRUE,TRUE,TRUE
"mmu-miR-125a-3p",TRUE,TRUE,TRUE
"mmu-miR-29c",TRUE,TRUE,FALSE
"mmu-miR-197",TRUE,FALSE,TRUE
"mmu-miR-706",TRUE,TRUE,TRUE
"mmu-miR-146a",TRUE,TRUE,TRUE
"mmu-miR-30e",TRUE,FALSE,FALSE
"mmu-miR-30d",TRUE,TRUE,TRUE
"mmu-miR-93",TRUE,TRUE,TRUE
"mmu-miR-297a",TRUE,TRUE,TRUE
"mmu-miR-99a",TRUE,TRUE,TRUE
"mmu-miR-124",FALSE,TRUE,TRUE
"mmu-miR-100",TRUE,TRUE,TRUE
"mmu-miR-129-3p",FALSE,TRUE,TRUE
"mmu-miR-338-5p",TRUE,TRUE,TRUE
"mmu-miR-324-5p",TRUE,TRUE,FALSE
"mmu-miR-129-5p",TRUE,TRUE,TRUE
"mmu-miR-30b",TRUE,TRUE,TRUE
"mmu-let-7g",TRUE,FALSE,TRUE
"mmu-miR-188-5p",TRUE,FALSE,TRUE
"mmu-miR-10a",TRUE,TRUE,FALSE
"mmu-miR-298",TRUE,FALSE,TRUE
"mmu-miR-200a",TRUE,TRUE,TRUE
"mmu-miR-101b",TRUE,FALSE,TRUE
"mmu-miR-1955",TRUE,TRUE,TRUE
"mmu-miR-199a-3p",TRUE,TRUE,TRUE
"mmu-miR-191",TRUE,TRUE,TRUE
"mmu-miR-320",TRUE,TRUE,TRUE
"mmu-miR-598",FALSE,FALSE,TRUE
"mmu-miR-203",TRUE,FALSE,FALSE
"mmu-miR-301a",TRUE,FALSE,TRUE
"mmu-miR-26b",TRUE,FALSE,TRUE
"mmu-miR-493",TRUE,TRUE,TRUE
"mmu-miR-125b-5p",TRUE,TRUE,TRUE
"mmu-miR-1943",TRUE,TRUE,FALSE
"mmu-miR-221",TRUE,TRUE,TRUE
"mmu-miR-27b",TRUE,TRUE,TRUE
"mmu-miR-186",TRUE,FALSE,TRUE
"mmu-miR-15b",TRUE,TRUE,FALSE
"mmu-miR-1196",TRUE,TRUE,TRUE
"mmu-miR-127",TRUE,TRUE,TRUE
"mmu-miR-26a",TRUE,FALSE,FALSE
"mmu-miR-139-5p",TRUE,TRUE,TRUE
"mmu-miR-770-3p",TRUE,FALSE,TRUE
"mmu-let-7d*",FALSE,FALSE,TRUE
"mmu-miR-18a",TRUE,FALSE,FALSE
"mmu-miR-130b",TRUE,FALSE,TRUE
"mmu-miR-31*",TRUE,TRUE,TRUE
"mmu-miR-184",TRUE,FALSE,TRUE
"mmu-miR-669i",TRUE,TRUE,FALSE
"mmu-miR-134",TRUE,FALSE,TRUE
"mmu-miR-32",FALSE,FALSE,TRUE
"mmu-let-7b",TRUE,TRUE,TRUE
"mmu-miR-99b*",TRUE,TRUE,FALSE
"mmu-miR-149",TRUE,TRUE,TRUE
"mmu-miR-199b",TRUE,TRUE,FALSE
"mmu-miR-126-5p",TRUE,TRUE,FALSE
"mmu-miR-1952",TRUE,FALSE,TRUE
"mmu-miR-339-5p",TRUE,TRUE,TRUE
"mmu-miR-300",TRUE,TRUE,FALSE
"mmu-miR-33",FALSE,FALSE,TRUE
"mmu-miR-324-3p",TRUE,TRUE,TRUE
"mmu-miR-196a*",TRUE,FALSE,FALSE
"mmu-let-7d",TRUE,TRUE,TRUE
"mmu-miR-2140",TRUE,TRUE,FALSE
"mmu-miR-346",TRUE,TRUE,TRUE
"mmu-miR-467e*",FALSE,TRUE,TRUE
"mmu-miR-296-3p",TRUE,FALSE,TRUE
"mmu-miR-1895",TRUE,TRUE,FALSE
"mmu-miR-760",TRUE,TRUE,TRUE
"mmu-miR-342-3p",TRUE,TRUE,TRUE
"mmu-miR-194",TRUE,TRUE,TRUE
"mmu-miR-151-3p",TRUE,TRUE,FALSE
"mmu-miR-1197",TRUE,TRUE,FALSE
"mmu-miR-876-3p",TRUE,TRUE,FALSE
"mmu-miR-218",TRUE,TRUE,TRUE
"mmu-miR-10b",TRUE,TRUE,FALSE
"mmu-miR-130b*",TRUE,TRUE,TRUE
"mmu-miR-1899",TRUE,TRUE,FALSE
"mmu-miR-152",TRUE,TRUE,TRUE
"mmu-miR-30e*",TRUE,FALSE,TRUE
"mmu-miR-99b",TRUE,TRUE,TRUE
"mmu-miR-1954",TRUE,TRUE,TRUE
"mmu-miR-139-3p",TRUE,TRUE,TRUE
"mmu-miR-540-3p",TRUE,FALSE,FALSE
"mmu-miR-146b",TRUE,FALSE,FALSE
"mmu-miR-1898",TRUE,TRUE,FALSE
"mmu-miR-497",TRUE,FALSE,FALSE
"mmu-miR-711",TRUE,TRUE,FALSE
"mmu-miR-92a*",TRUE,TRUE,FALSE
"mmu-miR-150",TRUE,FALSE,FALSE
"mmu-miR-350",TRUE,TRUE,FALSE
"mmu-miR-1983",TRUE,TRUE,TRUE
"mmu-miR-301b",TRUE,FALSE,TRUE
"mmu-miR-210",TRUE,FALSE,TRUE
"mmu-miR-187",TRUE,TRUE,TRUE
"mmu-miR-181b",FALSE,TRUE,TRUE
"mmu-miR-345-5p",FALSE,FALSE,TRUE
"mmu-miR-879*",TRUE,TRUE,TRUE
"mmu-miR-511",TRUE,FALSE,FALSE
"mmu-miR-872*",TRUE,FALSE,TRUE
"mmu-miR-181a",TRUE,TRUE,FALSE
"mmu-miR-151-5p",TRUE,TRUE,FALSE
"mmu-miR-183*",FALSE,TRUE,TRUE
"mmu-miR-135a*",FALSE,FALSE,TRUE
"mmu-miR-669m",FALSE,FALSE,TRUE
"mmu-miR-322",TRUE,FALSE,FALSE
"mmu-miR-2133",TRUE,TRUE,FALSE
"mmu-miR-337-3p",FALSE,FALSE,TRUE
"mmu-miR-20b*",TRUE,FALSE,FALSE
"mmu-miR-296-5p",TRUE,FALSE,FALSE
